High card. [4S, 8C, 9H, TS, KC] < High card. [2S, 3S, 5D, 7D, AC]

Two pair. [5C, 5D, 9C, AD, AC] > High card. [5H, 7C, 8D, TD, KS]

High card. [3H, 6S, 7H, JS, KC] > High card. [2D, 8S, TD, JC, QH]

One pair. [5C, 8H, TH, TC, QS] < One pair. [4D, 9H, JC, JS, KS]

High card. [5H, 7C, JD, QH, KC] < Two pair. [4C, 4S, KH, AS, AD]

One pair. [5H, 7D, 9C, 9H, KS] > One pair. [3S, 5D, 5C, 8D, AH]

High card. [2H, 3H, 4H, 5C, 6H] < High card. [3S, 5S, 6S, QH, AS]

One pair. [4H, 7C, 8C, TD, TC] < One pair. [3H, 4C, 7S, KC, KS]

High card. [3H, 6D, 7C, 9C, KD] < One pair. [4C, QS, QC, KH, AC]

One pair. [2H, 2D, 5H, 6S, JC] > High card. [7C, 9D, JS, KD, AS]

High card. [8H, 9D, TH, QH, AD] < One pair. [3S, 6D, TS, AS, AC]

One pair. [2H, 4S, 5C, 5S, TC] > High card. [3C, 6C, TS, JD, KC]

High card. [2C, 6H, JS, QD, AS] > High card. [3D, 4H, 8S, 9H, KC]

High card. [2S, 7C, 8S, 9S, KD] < One pair. [3S, 4H, 6D, 6S, KC]

High card. [2D, 3C, 4D, 7D, 8C] < One pair. [4S, 4H, 9S, JD, QH]

High card. [2D, 7S, 8C, TC, KC] < High card. [5C, 8H, TS, QD, AC]

One pair. [3D, 6C, 6S, QD, KH] < One pair. [2H, 8H, QS, AD, AS]

Two pair. [4C, 6S, 6C, 8D, 8S] > High card. [6D, 7D, 9D, TC, QH]

One pair. [2S, 4C, 8D, 8C, TS] < Three of a kind. [3D, 9S, 9D, 9C, AC]

High card. [2S, 3C, 4H, JH, QS] > High card. [2D, 3D, 8S, 9H, TD]

High card. [3C, 5H, 6D, 8S, QS] < One pair. [7H, 7D, 8C, JD, AS]

High card. [6H, 9D, TD, JH, AS] > High card. [6C, 9S, JC, QC, KD]

High card. [4D, 8S, TH, QS, AH] < One pair. [3C, 3D, 5C, TS, AC]

High card. [3D, 4D, 5S, 8H, JS] < High card. [3S, 6C, 8C, TS, AD]

One pair. [3S, 5D, 5H, 6D, 7C] < One pair. [2H, 3D, 5C, 5S, JC]

High card. [2S, 3D, 5H, 6H, KS] < One pair. [5D, 7H, 8H, JD, JS]

High card. [4H, JS, QS, KH, AS] > High card. [6D, 7C, TC, QC, KS]

High card. [2H, 3D, TS, JS, QS] < High card. [4D, 9S, JC, KD, AS]

One pair. [4D, 5H, 5D, QD, KH] > High card. [3D, 4H, 7H, JS, KD]

One pair. [2C, 5C, 6H, 9H, 9D] > High card. [2D, 6C, 9S, TH, JC]

High card. [6D, 7D, JH, QD, AS] > High card. [4D, 5C, 7C, JS, QS]

High card. [3H, 8C, QD, KH, AD] > High card. [3S, 5S, 8H, 9D, TH]

One pair. [4D, 8S, 9S, 9D, AH] > High card. [3C, 4H, 8D, TC, JS]

High card. [2C, 3S, 5H, QD, KS] < One pair. [8S, 9H, TS, AH, AD]

One pair. [5C, 5D, 7H, 9H, KD] > High card. [2D, 3D, 4D, KS, AD]

One pair. [2C, 6D, 9S, KS, KC] < Two pair. [9D, 9H, TS, TC, QH]

High card. [4D, 5D, 6H, 9C, QH] < High card. [6D, JS, QC, KH, AD]

One pair. [3H, 5C, 9S, 9D, JD] > High card. [4D, 9H, TC, QH, AS]

High card. [2C, 3C, 6D, 9C, JC] < One pair. [7D, 9S, 9D, KH, AD]

One pair. [7C, 9C, JC, JS, KC] > One pair. [3H, 3C, 7D, KD, AS]

One pair. [2C, 3S, QD, QS, KH] < Two pair. [8S, 8H, 9H, 9C, JC]

High card. [3C, 4C, 8D, QH, KC] < One pair. [4H, 6D, 9H, 9D, AD]

One pair. [3S, 7H, QS, KS, KH] > One pair. [5H, 5D, 7D, JD, AD]

Two pair. [2H, 2C, 6H, TH, TC] > One pair. [4H, 7D, 8D, 8C, AS]

High card. [2H, 3S, 4S, QC, AC] < One pair. [4D, 4C, 6D, TH, KH]

High card. [4D, 7C, TC, KS, AS] < One pair. [2D, 3C, 6D, 6C, 9H]

High card. [2C, 5D, 8C, TD, QS] < One pair. [3H, 4C, 7H, 9C, 9H]

One pair. [5H, 7S, TS, TD, JH] > One pair. [6H, 8H, 8S, QD, AD]

High card. [5S, 7C, 8C, 9C, AD] < One pair. [2S, 5H, 8D, 8S, 9D]

One pair. [2S, 4H, 9S, KH, KS] > High card. [4S, 5S, 7D, KC, AD]

One pair. [6H, 9C, JS, QS, QD] < One pair. [2S, 5D, 8D, AC, AS]

High card. [3S, 9D, JC, KH, AC] < One pair. [3C, 5S, 9S, 9C, JS]

Three of a kind. [3C, 3D, 3S, KS, AD] > High card. [4S, 5C, 8C, 9C, TS]

High card. [5D, 6H, 8D, JH, KD] < One pair. [3D, 6C, QS, QD, KC]

One pair. [3S, 6C, 8S, 8C, JD] < One pair. [3C, TC, JS, QC, QH]

High card. [2S, 8H, 9H, JC, KC] < Two pair. [8S, 8C, 9C, 9S, JH]

One pair. [2H, 4D, 8S, QH, QC] > High card. [3C, 9D, TH, KC, AS]

High card. [2H, 6H, 7C, 8S, TH] < One pair. [3C, 3H, 6S, 7S, AS]

One pair. [4H, 5S, 5H, JS, QH] < One pair. [8H, TS, JC, AH, AC]

High card. [2S, 4S, 8H, 9D, TC] < One pair. [3C, 3H, 5C, 7H, JC]

Three of a kind. [3D, 3C, 3S, 4C, AD] > High card. [5D, 8C, TH, QC, AS]

High card. [4C, 6S, 9D, JS, KH] < One pair. [8H, TS, JD, AH, AD]

High card. [4C, 6S, 7S, 9D, AC] < One pair. [3D, 3S, 4D, TC, JD]

High card. [4H, 6H, 7H, JH, AD] < One pair. [6S, 7D, TD, TS, KC]

One pair. [3S, 8H, 8D, TC, JH] > High card. [2C, 4D, 5C, 8C, 9S]

High card. [2C, 9D, TH, QH, KC] > High card. [4H, 9C, TS, JC, QS]

One pair. [3C, 8H, QS, QD, KH] > One pair. [4H, 8D, 8S, TD, AC]

High card. [3C, 5S, 7C, 8H, TH] < High card. [8C, 9C, TC, JD, KD]

One pair. [8C, TC, TS, JD, QC] > High card. [3H, 6H, 7C, TD, KD]

High card. [6D, 9C, JH, QS, KS] < One pair. [6S, 6H, 9H, KH, AS]

One pair. [2H, 2D, 4D, JH, AH] > High card. [4H, 5D, 6H, TD, JD]

